name,lat,lon
Орбита,55.8999826,37.5727255
Пират,55.8998654,37.5713559
Поросята,55.9001067,37.5720763
Ралли,55.7941897,37.672354
None460,55.9001448,37.5729704
Лось,55.8582847,37.6930507
None462,55.728085,37.4997806
None463,55.752379,37.4085111
None464,55.7525642,37.4086129
None465,55.7522404,37.4086602
None466,55.7524372,37.4087998
None467,55.7527948,37.4076498
None468,55.7527682,37.4073805
Рождение жизни,55.7525972,37.4078593
None470,55.75266,37.4080943
None471,55.752507,37.4081694
Даев-33,55.7694963,37.6398369
Brusov Art Space,55.7579656,37.6060182
Masterskaya,55.7443584,37.5982974
Выставочный зал дома Гоголя,55.753747,37.6000952
Фотоцентр,55.7461879,37.600707
None477,55.7525736,37.4087804
None478,55.7557734,37.4082928
None479,55.7557968,37.4082894
None480,55.7558201,37.4082859
Арт-Трофи,55.767244,37.632277
Лента Мёбиуса,55.7279849,37.584193
None483,55.6014218,37.6020465
Фея Главбух,55.7963759,37.6794727
None485,55.7964321,37.6805136
None486,55.7964883,37.6801774
Сююмбике,55.774048,37.6548608
Храм в честь Казанской иконы Божией Матери,55.7739968,37.6548122
Конвой,55.7937227,37.6724293
Котёл,55.6984033,37.6243699
Музей шоколада,55.794583,37.7507778
Эйфелева башня,55.8439313,37.3554791
Конь,55.6932407,37.6604658
В себе,55.8379098,37.6181127
Зыбкость,55.8313903,37.6292878
Бывший храм Николая Чудотворца,55.7228981,37.626761
Девушка с веслом,55.7108123,37.651588
Музей шахмат Российской шахматной федерации,55.7477911,37.6004296
Дом великана,55.7506243,37.5948664
Я люблю Москву,55.7388886,37.7744746
Парквик,55.6535597,37.6463407
Центральный дом художника,55.734393,37.6043823
Мать Тереза,55.7668995,37.5713948
Я есмь пастырь добрый,55.7668105,37.5719792
Пингвины,55.7649637,37.5743856
Музей истории зоопарка,55.7627819,37.575478
Болотная сова,55.7630395,37.5785179
Ворон,55.7632449,37.5781734
Куница,55.7632087,37.5783683
Лесной хорь,55.7631109,37.5784989
Соболь,55.763235,37.5782785
Степной кот,55.7631652,37.5784473
Фламинго,55.7621525,37.5763194
Дагестанский тур,55.763329,37.5818947
Выдра,55.7626348,37.5802655
Земляные утки,55.7630796,37.5799205
Красноухая черепаха,55.7632241,37.5810008
Магелланов гусь,55.7625994,37.5797871
Нырковые утки,55.7630173,37.5803813
Птицы и бабочки тропиков,55.7639041,37.5821113
Речные утки,55.7629493,37.5808749
Рыжая свистящая утка,55.7637157,37.5822422
Сизая чайка,55.7631136,37.5801497
Харза,55.7626999,37.5805123
Чайки,55.7639041,37.5825091
Домашний осёл,55.7633686,37.5850649
Домашняя лошадь,55.762928,37.5846735
Животные Африки,55.7633006,37.5840728
Музей советских игровых автоматов,55.8337789,37.6267796
Галерея «На Шаболовке»,55.7129065,37.6102162
None532,55.803729,37.7317581
None533,55.8040456,37.7313986
None534,55.8010783,37.7315052
Купальня в честь святой Параскевы,55.8595258,37.3705188
Музей истории овощеводства защищённого грунта России,55.6604706,37.850529
Памятный камень «Аллея имени Алисы Селезнёвой»,55.8537202,37.4852751
Хлеб,55.8526816,37.473295
Плодородие,55.8521788,37.4736544
None540,55.61443,37.6853094
Охранник,55.7581461,37.6240711
Коровьев и Бегемот,55.7671738,37.5935552
КиВиН,55.7902881,37.606211
Студент,55.7877392,37.6081575
Будда,55.7776805,37.6291567
Скамья Семьи_-_ Любви и Верности,55.6909146,37.7885189
LAVка - скамейка для двоих,55.8306517,37.65564
Конфуций,55.8446022,37.6331394
Голуби,55.7613253,37.6244627
Шурик и Лида,55.702802,37.7368107
Карандаш и Клякса,55.7244426,37.5734431
Двуликий Янус,55.7389621,37.6024243
Ходжа Насреддин,55.7408291,37.4156492
Барон Мюнхгаузен,55.7410978,37.4159773
Лайка,55.7945328,37.5594751
Белый Кролик,55.7819367,37.7384403
Храм князя Александра Невского при б.Комиссаровском училище,55.7670876,37.5975862
Музей пряника,55.7570097,37.6435814
Паровоз Черепановых 1-1-0,55.8137873,37.5284011
Нимфа,55.6124623,37.6815674
Малый истукан,55.5985366,37.6772178
Большой истукан,55.5968087,37.677093
ежи,55.5914553,37.6770171
Дом ежей,55.5913977,37.6770493
Церера,55.6088759,37.6873732
